Class,Location,Day/Time
BME 22L - 01   BME Molecular Biology,LEC: Engineer 2 194,Tu 03:20PM-04:55PM
BME 23L - 01   BME Molecular Biology2,LEC: Engineer 2 194,Th 03:20PM-04:55PM
BME 80G - 01   Bioethics 21st Cent,LEC: J Bask Aud 101,MWF 01:20PM-02:25PM
BME 105 - 01   Genetics/Genomics,LEC: J Baskin Engr 152,MWF 12:00PM-01:05PM
BME 110 - 01   Comp Bio Tools,LAB: Engineer 2 194,TuTh 01:30PM-03:05PM
BME 110 - 02   Comp Bio Tools,LAB: Engineer 2 192,TuTh 03:20PM-04:55PM
BME 118 - 01   Math of the Mind,LEC: PhysSciences 110,MWF 01:20PM-02:25PM
BME 128L - 01   Protein Eng lab,LAB: J Baskin Engr 301B,F 09:20AM-12:20PM
BME 128L - 02   Protein Eng lab,LAB: J Baskin Engr 301B,F 01:20PM-04:20PM
BME 129C - 01   Design/Implement BME,LAB: McHenry Lib 1350,TuTh 03:20PM-04:55PM
BME 160 - 01   ResBioProgramming,LEC: Sci & Engr Library 206,MWF 09:20AM-10:25AM
BME 163 - 01   Data Visualization,LEC: J Baskin Engr 152,MWF 02:40PM-03:45PM
BME 177 - 01   Engr Stem Cells,LEC: Engineer 2 192,TuTh 09:50AM-11:25AM
BME 185 - 01   Tech Writing Biomol,LEC: Engineer 2 194,TuTh 05:20PM-06:55PM
BME 188A - 01   SynBio Research:A,LAB: J Baskin Engr 169,TuTh 01:30PM-03:05PM
BME 218 - 01   Math of the Mind,LEC: PhysSciences 110,MWF 01:20PM-02:25PM
BME 263 - 01   Data Visualization,LEC: J Baskin Engr 152,MWF 02:40PM-03:45PM
BME 272 - 01   Precision Medicine,LEC: J Baskin Engr 165,TuTh 09:50AM-11:25AM
BME 280B - 01   Bioinform/Bioeng Sem,SEM: PhysSciences 240,Th 11:40AM-01:15PM
BME 281D - 01   Protein Engineering,SEM: TBD In Person,Day and Time:
BME 281E - 01   Seminar in Genomics,SEM: TBD In Person,Day and Time:
BME 281F - 01   Blood Cell Dev,SEM: TBD In Person,Day and Time:
BME 281G - 01   Cell Fate Decisions,SEM: TBD In Person,Day and Time:
BME 281H - 01   Live Cell Biotech Sem,SEM: TBD In Person,Day and Time:
BME 281J - 01   Seminar in Genomics,SEM: TBD In Person,Day and Time:
BME 281L - 01   Sem Comput Genetics,SEM: TBD In Person,Day and Time:
BME 281M - 01   SEM on Chromosome BIOL,SEM: TBD In Person,Day and Time:
BME 281N - 01   Transcriptomics,LAB: TBD In Person,Day and Time:
BME 281P - 01   Nanotech/Biosensors,SEM: TBD In Person,Day and Time:
BME 281R - 01   Stem Cell Genomics,SEM: TBD In Person,Day and Time:
BME 281T - 01   N ENGR & SYS N SCI,SEM: TBD In Person,Day and Time:
BME 281V - 01   Immunogenomics,SEM: TBD In Person,Day and Time:
BME 281X - 01   Microbial Symbiosis,SEM: TBD In Person,Day and Time:
BME 281Y - 01   SEM on Protein Design,SEM: TBD In Person,Day and Time:
BME 281Z - 01   Sem Pop/Evol Genom,SEM: TBD In Person,Day and Time:
CHEM 3A - 01   General Chemistry,LEC: Thim Lecture 003,MWF 08:00AM-09:05AM
CHEM 3B - 01   General Chemistry,LEC: ClassroomUnit 002,MWF 09:20AM-10:25AM
CHEM 3B - 02   General Chemistry,LEC: Media Theater M110,MWF 10:40AM-11:45AM
CHEM 3BL - 01   General Chemistry Lab,LAB,Day and Time:
CHEM 3C - 01   General Chemistry,LEC: Kresge Acad 3105,MWF 09:20AM-10:25AM
CHEM 3C - 02   General Chemistry,LEC: Kresge Acad 3105,MWF 10:40AM-11:45AM
CHEM 3CL - 01   General Chemistry Lab,LAB,Day and Time:
CHEM 8B - 01   Organic Chemistry,LEC: Media Theater M110,TuTh 09:50AM-11:25AM
CHEM 8M - 01   Organic Chem Lab,LAB: Earth&Marine B206,F 01:20PM-02:25PM
CHEM 103 - 01   Biochemistry,LEC: PhysSciences 130,TuTh 11:40AM-01:15PM
CHEM 109 - 01   Org Chem:Apps to Bio,LEC: Sci & Engr Library 206,TuTh 11:40AM-01:15PM
CHEM 110 - 01   IntermedOrganicChem,LEC: N. Sci Annex 101,TuTh 08:00AM-09:35AM
CHEM 110L - 01   Int OrganicChem Lab,LAB: Earth&Marine B206,F 02:40PM-03:45PM
CHEM 146B - 01   Adv Lab Inorganic,LAB: Crown Clrm 105,F 12:00PM-01:05PM
CHEM 146C - 01   Adv Lab Physical,LAB: J Baskin Engr 169,F 12:00PM-01:05PM
CHEM 151B - 01   Main Group Elements,LEC: Cowell Acad 222,MWF 10:40AM-11:45AM
CHEM 160L - 01   Biochem Research Lab,LAB: McHenry Lib 1340,TuTh 09:50AM-11:25AM
CHEM 161L - 01   ChemBio Research Lab,LAB: PhysSciences 240,MWF 12:00PM-01:05PM
CHEM 163C - 01   Stat Thermo & Kinetics,LEC: PhysSciences 130,MWF 09:20AM-10:25AM
CHEM 171 - 01   Chem Bio,LEC: R Carson Acad 252,TuTh 09:50AM-11:25AM
CHEM 261 - 01   Founda Spectroscopy,LEC: Porter Acad 246,TuTh 09:50AM-11:25AM
CHEM 264 - 01   Comp. Materials,LEC: Crown Clrm 104,TuTh 11:40AM-01:15PM
CHEM 271 - 01   Chemical Biology,LEC: R Carson Acad 252,TuTh 09:50AM-11:25AM
CHEM 291 - 01   Chemistry Seminar,SEM: PhysSciences 240,M 04:00PM-06:00PM
CHIN 3 - 01   Chinese: First Year,LEC: Humanities 1 110,MWF 08:00AM-09:05AM
CHIN 3 - 02   Chinese: First Year,LEC: Humanities 1 110,MWF 10:40AM-11:45AM
CHIN 6 - 01   Chinese: Second Year,LEC: Soc Sci 2 167,MWF 08:00AM-09:05AM
CHIN 6 - 02   Chinese: Second Year,LEC: Soc Sci 2 167,MWF 09:20AM-10:25AM
CHIN 80 - 01   Chinese for Traveling,LEC: Cowell Clrm 131,MWF 09:20AM-10:25AM
CHIN 108 - 01   Chinese: Classcal,SEM: Soc Sci 2 167,MWF 10:40AM-11:45AM
CLNI 30 - 01   (H)ACER Internship,FLD: TBD In Person,Day and Time:
CLNI 55 - 01   USP Opportunities Lab,SEM: Soc Sci 1 153,Tu 01:30PM-03:05PM
CLNI 65 - 01   Learn To DJ,SEM: Soc Sci 1 153,M 10:00AM-11:05AM
CLNI 70 - 01   Community Garden,FLD: Soc Sci 2 363,F 10:00AM-01:00PM
CMMU 102 - 01   Prep Field Studies,LEC: J Baskin Engr 165,TuTh 11:40AM-01:15PM
CMMU 145 - 01   Global Capitalism,LEC: Porter Acad 144,TuTh 09:50AM-11:25AM
CMMU 163 - 01   Healthcare Inequal,SEM,Cancelled Cancelled
CMPM 15 - 01   Research Explorations,SEM: Sci & Engr Library 206,W 10:40AM-11:45AM
CMPM 15 - 02   Research Explorations,SEM: TBD In Person,Day and Time:
CMPM 17 - 01   DSG Build Experience,LAB: J Baskin Engr 097,TuTh 05:20PM-06:55PM
CMPM 17 - 02   DSG Build Experience,LAB: J Baskin Engr 097,TuTh 01:30PM-03:05PM
CMPM 17 - 03   DSG Build Experience,LAB: Engineer 2 585,MW 05:20PM-06:55PM
CMPM 20 - 01   P&P Resilience,SEM: Cowell Clrm 131,TuTh 01:30PM-03:05PM
